Time (seconds),Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
533,8.883333333,16,10.20957,34.05545979
534,8.9,14,10.42321,34.76808613
535,8.916666667,14,10.41209,34.7309938
536,8.933333333,14,10.40096,34.69386812
537,8.95,14,10.39021,34.65800998
538,8.966666667,14,10.37958,34.62255211
539,8.983333333,14,10.36919,34.5878948
540,9,14,10.35894,34.55370448
541,9.016666667,14,10.34896,34.52041479
542,9.033333333,14,10.33917,34.48775886
543,9.05,14,10.32981,34.45653726
544,9.066666667,14,10.32034,34.42494874
545,9.083333333,14,10.31089,34.39342694
546,9.1,14,10.30212,34.36417336
547,9.116666667,14,10.29318,34.33435273
548,9.133333333,14,10.2843,34.30473224
549,9.15,14,10.27558,34.27564545
550,9.166666667,14,10.26699,34.2469923
551,9.183333333,14,10.2586,34.21900627
552,9.2,14,10.24949,34.18861858
553,9.216666667,14,10.24057,34.15886466
554,9.233333333,14,10.23164,34.12907739
555,9.25,14,10.22303,34.10035752
556,9.266666667,14,10.21445,34.07173772
557,9.283333333,14,10.20657,34.04545287
558,9.3,14,10.1984,34.01820068
559,9.316666667,14,10.19048,33.99178241
560,9.333333333,14,10.18286,33.96636482
561,9.35,14,10.17511,33.94051361
562,9.366666667,14,10.16766,33.91566308
563,9.383333333,14,10.16051,33.89181325
564,9.4,14,10.15345,33.86826362
565,9.416666667,14,10.14706,33.84694888
566,9.433333333,16,9.954695,33.20528831
567,9.45,16,9.953928,33.20272987
568,9.466666667,16,9.953329,33.20073182
569,9.483333333,16,9.952876,33.19922078
570,9.5,16,9.95259,33.19826678
571,9.516666667,16,9.952463,33.19784316
572,9.533333333,16,9.95244,33.19776644
573,9.55,16,9.952437,33.19775643
574,9.566666667,16,9.952595,33.19828346
575,9.583333333,16,9.952909,33.19933085
576,9.6,16,9.953385,33.20091862
577,9.616666667,16,9.954017,33.20302674
578,9.633333333,16,9.954773,33.20554849
579,9.65,16,9.95569,33.20860727
580,9.666666667,16,9.95683,33.2124099
581,9.683333333,16,9.958045,33.2164627
582,9.7,16,9.959433,33.22109257
583,9.716666667,16,9.960387,33.22427477
584,9.733333333,16,9.961309,33.22735024
585,9.75,16,9.962404,33.23100276
586,9.766666667,16,9.963575,33.2349088
587,9.783333333,16,9.964999,33.23965875
588,9.8,16,9.966565,33.24488236
589,9.816666667,16,9.96829,33.25063635
590,9.833333333,16,9.970183,33.25695071
591,9.85,16,9.972164,33.26355862
592,9.866666667,16,9.974368,33.27091037
593,9.883333333,16,9.976749,33.27885253
594,9.9,16,9.979197,33.28701818
595,9.916666667,16,9.981831,33.29580426
596,9.933333333,16,9.984715,33.30542425
597,9.95,16,9.986947,33.3128694
598,9.966666667,16,9.989282,33.32065812
599,9.983333333,16,9.991793,33.32903391
600,10,16,9.994442,33.33787003
601,10.01666667,16,9.99714,33.34686959
602,10.03333333,16,9.999976,33.35632946
603,10.05,16,10.0028,33.36574931
604,10.06666667,16,10.00593,33.37618987
605,10.08333333,14,10.00552,33.37482226
606,10.1,14,10.00514,33.37355471
607,10.11666667,14,10.00486,33.37262073
608,10.13333333,14,10.00467,33.37198696
