Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
478,7.966666667,11,6.65607,22.20225967
479,7.983333333,11,6.655728,22.20111888
480,8,11,6.655502,22.20036503
481,8.016666667,11,6.655409,22.20005481
482,8.033333333,11,6.655278,22.19961784
483,8.05,11,6.655121,22.19909415
484,8.066666667,11,6.655082,22.19896406
485,8.083333333,9,6.884092,22.96285919
486,8.1,9,6.889966,22.98245275
487,8.116666667,9,6.89577,23.00181281
488,8.133333333,9,6.902112,23.02296744
489,8.15,9,6.908224,23.04335488
490,8.166666667,9,6.914962,23.06583043
491,8.183333333,9,6.921386,23.08725859
492,8.2,9,6.928149,23.10981753
493,8.216666667,9,6.934967,23.13255993
494,8.233333333,9,6.942132,23.15645979
495,8.25,9,6.949636,23.18149044
496,8.266666667,9,6.956668,23.20494667
497,8.283333333,9,6.964376,23.23065779
498,8.3,9,6.971679,23.25501798
499,8.316666667,9,6.979548,23.28126614
500,8.333333333,9,6.987468,23.30768441
501,8.35,9,6.995916,23.33586391
502,8.366666667,9,7.003834,23.36227551
503,8.383333333,9,7.012289,23.39047836
504,8.4,10,7.060851,23.55246375
505,8.416666667,10,7.062325,23.55738049
506,8.433333333,10,7.064058,23.56316115
507,8.45,10,7.065917,23.56936211
508,8.466666667,10,7.067919,23.57604006
509,8.483333333,10,7.070149,23.58347854
510,8.5,10,7.072389,23.59095038
511,8.516666667,10,7.07495,23.59949295
512,8.533333333,10,7.077671,23.60856923
513,8.55,10,7.080776,23.6189264
514,8.566666667,10,7.083913,23.6293903
515,8.583333333,10,7.087296,23.64067478
516,8.6,10,7.090998,23.65302332
517,8.616666667,10,7.094699,23.66536853
518,8.633333333,12,7.096797,23.6723667
519,8.65,12,7.095782,23.66898103
520,8.666666667,12,7.095012,23.66641258
521,8.683333333,12,7.094387,23.66432781
522,8.7,12,7.094001,23.66304025
523,8.716666667,12,7.093809,23.66239981
524,8.733333333,12,7.093822,23.66244317
525,8.75,12,7.094047,23.66319369
526,8.766666667,12,7.094474,23.66461801
527,8.783333333,12,7.095115,23.66675615
528,8.8,12,7.095908,23.66940132
529,8.816666667,12,7.096971,23.6729471
530,8.833333333,12,7.098269,23.67727676
531,8.85,12,7.099728,23.68214346
532,8.866666667,12,7.101376,23.6876406
533,8.883333333,12,7.103189,23.69368812
534,8.9,12,7.105236,23.70051618
535,8.916666667,12,7.107549,23.70823151
536,8.933333333,11,6.791493,22.65398218
537,8.95,11,6.787453,22.64050619
538,8.966666667,11,6.783401,22.62699017
539,8.983333333,11,6.779549,22.61414128
540,9,11,6.775941,22.60210629
541,9.016666667,11,6.772456,22.59048158
542,9.033333333,11,6.769097,22.57927716
543,9.05,11,6.76593,22.56871319
544,9.066666667,11,6.762211,22.55630794
545,9.083333333,11,6.758371,22.54349908
546,9.1,11,6.754799,22.53158417
547,9.116666667,11,6.682979,22.29201843
548,9.133333333,11,6.681029,22.28551393
549,9.15,11,6.676221,22.26947617
550,9.166666667,11,6.673864,22.26161407
551,9.183333333,11,6.671741,22.2545325
552,9.2,11,6.669712,22.24776449
553,9.216666667,11,6.667778,22.24131336
554,9.233333333,11,6.665998,22.23537591
555,9.25,11,6.664388,22.23000553
556,9.266666667,11,6.662837,22.22483195
557,9.283333333,11,6.661401,22.22004197
558,9.3,11,6.660087,22.21565894
559,9.316666667,11,6.658931,22.21180294
560,9.333333333,11,6.657849,22.20819378
561,9.35,11,6.65691,22.20506161
562,9.366666667,11,6.656109,22.20238976
563,9.383333333,11,6.655427,22.20011485
564,9.4,11,6.654846,22.19817685
565,9.416666667,11,6.654405,22.19670583
566,9.433333333,11,6.654078,22.19561507
567,9.45,11,6.653868,22.19491459
568,9.466666667,11,6.653789,22.19465107
569,9.483333333,11,6.653831,22.19479117
570,9.5,11,6.653999,22.19535156
571,9.516666667,9,6.879089,22.94617098
572,9.533333333,9,6.884944,22.96570116
573,9.55,9,6.890759,22.98509791
574,9.566666667,9,6.896812,23.00528855
575,9.583333333,9,6.903032,23.02603623
576,9.6,9,6.90922,23.04667718
577,9.616666667,9,6.915755,23.06847559
578,9.633333333,9,6.922474,23.09088776
579,9.65,9,6.929313,23.11370021
580,9.666666667,9,6.936305,23.13702301
581,9.683333333,9,6.943215,23.16007229
582,9.7,9,6.950691,23.18500954
583,9.716666667,9,6.957967,23.20927967
584,9.733333333,9,6.965428,23.23416688
585,9.75,9,6.973316,23.26047842
586,9.766666667,9,6.981123,23.28651977
587,9.783333333,9,6.988766,23.31201407
588,9.8,9,6.996948,23.33930629
589,9.816666667,9,7.005459,23.36769593
590,9.833333333,9,7.013597,23.39484137
591,9.85,10,7.061035,23.55307751
592,9.866666667,10,7.062676,23.5585513
593,9.883333333,10,7.064347,23.56412515
594,9.9,10,7.066162,23.57017934
595,9.916666667,10,7.068263,23.57718752
596,9.933333333,10,7.07042,23.5843825
597,9.95,10,7.072784,23.59226795
598,9.966666667,10,7.075433,23.60110407
599,9.983333333,10,7.078083,23.60994352
600,10,10,7.081098,23.62000047
601,10.01666667,10,7.084356,23.63086799
602,10.03333333,10,7.08789,23.64265615
603,10.05,10,7.091588,23.65499135
604,10.06666667,10,7.095396,23.66769347
605,10.08333333,12,7.097209,23.67374099
606,10.1,12,7.096258,23.67056879
607,10.11666667,12,7.095475,23.66795698
608,10.13333333,12,7.094898,23.66603232
609,10.15,12,7.094532,23.66481147
610,10.16666667,12,7.094379,23.66430112
611,10.18333333,12,7.094427,23.66446123
612,10.2,12,7.094686,23.66532516
613,10.21666667,12,7.095157,23.66689625
614,10.23333333,12,7.095803,23.66905107
615,10.25,12,7.096675,23.67195975
616,10.26666667,12,7.097753,23.67555557
617,10.28333333,12,7.099021,23.67978517
618,10.3,12,7.100473,23.68462852
619,10.31666667,12,7.1022,23.69038917
620,10.33333333,12,7.104086,23.69668019
621,10.35,12,7.106184,23.70367836
622,10.36666667,12,7.108489,23.71136702
623,10.38333333,11,6.791946,22.65549322
624,10.4,11,6.787777,22.64158693
625,10.41666667,11,6.783985,22.62893818
626,10.43333333,11,6.780147,22.61613599
627,10.45,11,6.776437,22.60376077
628,10.46666667,11,6.772953,22.59213939
629,10.48333333,11,6.769783,22.58156541
630,10.5,11,6.766451,22.57045106
631,10.51666667,11,6.762568,22.55749876
632,10.53333333,11,6.758888,22.5452236
633,10.55,11,6.755331,22.53335873
634,10.56666667,11,6.683959,22.29528736
635,10.58333333,11,6.681996,22.2887395
636,10.6,11,6.677276,22.27299527
637,10.61666667,11,6.674985,22.26535332
638,10.63333333,11,6.672853,22.25824173
639,10.65,11,6.670915,22.25177726
640,10.66666667,11,6.668956,22.24524274
641,10.68333333,11,6.667159,22.23924859
642,10.7,11,6.665521,22.23378481
643,10.71666667,11,6.664014,22.228758
644,10.73333333,11,6.662608,22.22406809
645,10.75,11,6.661327,22.21979514
646,10.76666667,11,6.660187,22.21599251
647,10.78333333,11,6.65912,22.21243338
648,10.8,11,6.658243,22.20950802
649,10.81666667,11,6.657434,22.20680949
650,10.83333333,11,6.656766,22.20458128
651,10.85,11,6.656207,22.20271665
652,10.86666667,11,6.655778,22.20128566
653,10.88333333,11,6.655483,22.20030165
654,10.9,11,6.655302,22.1996979
655,10.91666667,11,6.655233,22.19946774
656,10.93333333,11,6.655293,22.19966788
657,10.95,11,6.655482,22.20029831
658,10.96666667,9,6.880063,22.9494199
659,10.98333333,9,6.885908,22.96891672
660,11,9,6.891734,22.98835016
661,11.01666667,9,6.897786,23.00853746
662,11.03333333,9,6.904165,23.02981551
663,11.05,9,6.910375,23.05052984
664,11.06666667,9,6.91689,23.07226154
665,11.08333333,9,6.923747,23.09513403
666,11.1,9,6.93042,23.11739277
667,11.11666667,9,6.937318,23.14040202
668,11.13333333,9,6.944387,23.16398166
669,11.15,9,6.95179,23.18867541
670,11.16666667,9,6.959137,23.21318237
671,11.18333333,9,6.966581,23.23801288
672,11.2,9,6.974496,23.26441448
673,11.21666667,9,6.98227,23.29034575
674,11.23333333,9,6.990113,23.31650718
675,11.25,9,6.998612,23.34485679
676,11.26666667,9,7.006783,23.37211232
677,11.28333333,9,7.015036,23.39964136
678,11.3,10,7.061332,23.55406819
679,11.31666667,10,7.062943,23.55944191
680,11.33333333,10,7.064656,23.56515587
681,11.35,10,7.066561,23.57151026
