Time (minutes),Latency (smooth)
183.6833333,23.24159286
184.0166667,23.25443257
184.35,23.21445325
184.6833333,23.2113536
185.0166667,23.2061425
185.35,23.28149463
185.6833333,23.06173343
186.0166667,22.98409055
186.35,22.99430094
186.6833333,23.31279295
187.0166667,23.3280977
187.35,23.28915326
187.6833333,23.26639752
188.0166667,23.25726703
188.35,23.33105975
188.6833333,23.10527021
189.0166667,23.05989966
189.35,23.07026099
189.6833333,23.38473772
190.0166667,23.40282189
190.35,23.35213183
190.6833333,23.33843235
191.0166667,23.33169269
191.35,23.39016314
191.6833333,23.56957392
192.0166667,23.51870707
192.35,23.51588094
192.6833333,23.81466514
193.0166667,23.39329614
193.35,23.36136738
193.6833333,23.3756014
194.0166667,23.36549357
194.35,23.41798238
194.6833333,23.11566157
195.0166667,23.07593158
195.35,23.07558968
195.6833333,23.37091899
196.0166667,23.37679222
196.35,23.48403475
196.6833333,23.50021928
197.0166667,23.49160748
197.35,23.75585279
197.6833333,23.2618035
198.0166667,23.26351552
198.35,23.26825297
198.6833333,23.34688903
199.0166667,23.36937709
199.35,22.94497015
199.6833333,22.96849476
200.0166667,22.96396746
200.35,23.20069039
200.6833333,23.20013167
201.0166667,23.22966961
201.35,23.23944387
201.6833333,23.32329188
202.0166667,23.35900492
202.35,22.90602654
202.6833333,22.93399005
203.0166667,22.93192446
203.35,23.25106191
203.6833333,23.25031389
204.0166667,22.83711137
204.35,22.85178068
204.6833333,22.83597975
205.0166667,22.8704536
205.35,22.86108962
205.6833333,22.88695918
206.0166667,22.88625703
206.35,23.08249779
206.6833333,23.08233435
207.0166667,22.67490332
207.35,22.69284406
207.6833333,22.79979055
208.0166667,22.83286009
208.35,22.82572182
208.6833333,22.86420344
209.0166667,22.86728391
209.35,23.1794999
209.6833333,23.18232769
210.0166667,22.76951627
210.35,22.79317347
210.6833333,22.78339837
211.0166667,22.96929781
211.35,22.9638799
211.6833333,22.5939398
212.0166667,22.60482317
212.35,22.7578507
212.6833333,22.78003021
213.0166667,22.77342898
213.35,22.79763322
213.6833333,22.79334025
214.0166667,22.95197917
214.35,22.95069244
214.6833333,22.57357238
215.0166667,22.58483517
215.35,22.74303628
215.6833333,22.76457535
216.0166667,22.7629584
216.35,22.79274818
216.6833333,22.68361017
217.0166667,22.83651095
217.35,22.83995417
217.6833333,22.45516046
218.0166667,22.44272269
218.35,22.52786659
218.6833333,22.54910962
219.0166667,22.54973589
219.35,22.72546913
219.6833333,22.70063612
220.0166667,22.98114768
220.35,22.99058254
220.6833333,22.59114037
221.0166667,22.58369188
221.35,22.54766696
221.6833333,22.57128747
222.0166667,22.57461894
222.35,22.58121183
222.6833333,22.56027401
223.0166667,22.83770594
223.35,22.84476082
223.6833333,22.60548529
224.0166667,22.59853882
224.35,22.56355795
224.6833333,22.68894803
225.0166667,22.69096026
225.35,22.45262371
225.6833333,22.43855147
226.0166667,22.62971289
226.35,22.64389353
226.6833333,22.64009257
227.0166667,22.63761002
227.35,22.60590225
227.6833333,22.72438088
228.0166667,22.72928844
228.35,22.47877263
228.6833333,22.46031653
229.0166667,22.6606176
229.35,22.68674901
229.6833333,22.68429231
230.0166667,22.68686743
230.35,22.65702345
230.6833333,22.76430266
