Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
457,152.0166667,11,6.611249,22.05275291
458,152.35,11,6.599554,22.01374259
459,152.6833333,12,7.044756,23.49877661
460,153.0166667,12,7.026795,23.43886516
461,153.35,11,6.655996,22.20201283
462,153.6833333,11,6.597044,22.00537013
463,154.0166667,12,7.084717,23.63207216
464,154.35,12,7.026873,23.43912534
465,154.6833333,12,7.047177,23.5068522
466,155.0166667,11,6.609231,22.04602158
467,155.35,11,6.595287,21.99950941
468,155.6833333,12,7.043818,23.49564778
469,156.0166667,12,7.026679,23.43847823
470,156.35,11,6.649276,22.17959733
471,156.6833333,11,6.594189,21.99584687
472,157.0166667,11,6.601702,22.02090754
473,157.35,10,6.876937,22.93899268
474,157.6833333,10,6.957831,23.20882602
475,158.0166667,11,6.61595,22.06843376
476,158.35,11,6.592764,21.99109359
477,158.6833333,10,6.867671,22.90808463
478,159.0166667,10,6.914732,23.06506323
479,159.35,11,6.786438,22.63712051
480,159.6833333,11,6.596513,22.0035989
481,160.0166667,11,6.600489,22.01686141
482,160.35,10,6.88933,22.98033128
483,160.6833333,10,6.963163,23.22661166
484,161.0166667,11,6.628158,22.10915526
485,161.35,11,6.59422,21.99595028
486,161.6833333,10,6.883025,22.95930006
487,162.0166667,10,6.920649,23.08480022
488,162.35,11,6.78405,22.629155
489,162.6833333,11,6.60108,22.01883278
490,163.0166667,11,6.603216,22.0259577
491,163.35,10,6.901703,23.02160317
492,163.6833333,10,6.968579,23.24467749
493,164.0166667,11,6.629931,22.11506935
494,164.35,11,6.599383,22.01317219
495,164.6833333,10,6.904136,23.02971878
496,165.0166667,10,6.939612,23.14805398
497,165.35,11,6.78257,22.62421825
498,165.6833333,11,6.608348,22.04307621
499,166.0166667,11,6.608131,22.04235238
500,166.35,10,6.920977,23.08589431
501,166.6833333,10,6.991782,23.32207437
502,167.0166667,11,6.751096,22.51923229
503,167.35,11,6.607321,22.03965051
504,167.6833333,10,6.92538,23.10058114
