Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
492,163.6833333,16,9.852126,32.86315495
493,164.0166667,16,9.959293,33.22062558
494,164.35,17,10.3669,34.58025619
495,164.6833333,16,9.848464,32.85093983
496,165.0166667,16,9.843338,32.83384134
497,165.35,16,9.877771,32.94869746
498,165.6833333,16,9.999846,33.35589583
499,166.0166667,16,9.880423,32.95754358
500,166.35,16,9.84243,32.83081258
501,166.6833333,16,9.85187,32.86230103
502,167.0166667,16,9.917684,33.0818329
503,167.35,17,10.36929,34.58822837
504,167.6833333,16,9.857071,32.87964969
505,168.0166667,16,9.846704,32.8450691
506,168.35,16,9.882163,32.9633476
507,168.6833333,16,10.00566,33.37528925
508,169.0166667,16,9.892586,32.99811498
509,169.35,16,9.856507,32.87776839
510,169.6833333,16,9.863766,32.90198181
511,170.0166667,16,9.924592,33.10487551
512,170.35,17,10.38317,34.63452706
513,170.6833333,16,9.874669,32.9383503
514,171.0166667,16,9.858673,32.88499339
515,171.35,16,9.89208,32.99642715
516,171.6833333,16,10.02312,33.43352954
517,172.0166667,17,10.40683,34.71344833
518,172.35,16,9.865801,32.90876984
519,172.6833333,16,9.87369,32.93508471
520,173.0166667,16,9.92693,33.11267424
521,173.35,17,10.39463,34.67275351
522,173.6833333,16,9.888399,32.98414865
523,174.0166667,16,9.869875,32.92235924
524,174.35,16,9.901669,33.02841261
525,174.6833333,16,10.0406,33.49183654
526,175.0166667,17,10.42595,34.77722578
527,175.35,16,9.883285,32.96709019
528,175.6833333,16,9.893649,33.00166077
529,176.0166667,16,9.943641,33.16841613
530,176.35,17,10.41641,34.74540377
531,176.6833333,16,9.907647,33.04835307
532,177.0166667,16,9.890007,32.98951236
533,177.35,16,9.914336,33.07066517
534,177.6833333,16,10.05731,33.5475751
535,178.0166667,14,10.43411,34.80444461
536,178.35,16,9.898019,33.01623752
537,178.6833333,16,9.904186,33.03680842
538,179.0166667,16,9.954697,33.20529498
539,179.35,17,10.43557,34.80931465
540,179.6833333,14,10.3322,34.46450944
541,180.0166667,16,9.908397,33.0508548
542,180.35,16,9.932049,33.12974938
543,180.6833333,16,10.08191,33.62963187
544,181.0166667,14,10.40778,34.71661719
545,181.35,16,9.922388,33.09752375
546,181.6833333,16,9.925954,33.10941865
547,182.0166667,16,9.974323,33.27076027
548,182.35,17,10.4657,34.90981751
549,182.6833333,14,10.30247,34.36534084
550,183.0166667,16,9.929317,33.12063641
551,183.35,16,9.953348,33.2007952
552,183.6833333,16,10.11162,33.72873376
553,184.0166667,14,10.38303,34.63406007
554,184.35,14,10.22361,34.10229219
555,184.6833333,16,9.942127,33.16336597
556,185.0166667,16,9.991646,33.32854358
557,185.35,14,10.46567,34.90971744
558,185.6833333,14,10.27391,34.27007493
559,186.0166667,16,9.947415,33.18100484
560,186.35,16,9.973282,33.26728786
561,186.6833333,16,10.06066,33.5587495
562,187.0166667,14,10.34788,34.51681229
563,187.35,14,10.18406,33.97036759
564,187.6833333,16,9.96819,33.25030278
565,188.0166667,16,10.01265,33.39860538
566,188.35,14,10.4385,34.81908808
567,188.6833333,14,10.24465,34.17247408
568,189.0166667,16,9.953051,33.19980451
569,189.35,16,9.970121,33.2567439
570,189.6833333,14,10.0331,33.46681924
571,190.0166667,14,10.31737,34.41504189
572,190.35,16,9.947566,33.18150852
573,190.6833333,16,9.94421,33.17031411
574,191.0166667,16,9.983725,33.30212196
575,191.35,16,10.19825,34.01770034
576,191.6833333,14,10.20741,34.04825481
577,192.0166667,16,9.937054,33.14644426
578,192.35,16,9.946958,33.17948045
579,192.6833333,14,10.00091,33.35944495
580,193.0166667,14,10.29101,34.32711439
581,193.35,16,9.934532,33.13803178
582,193.6833333,16,9.926903,33.11258417
583,194.0166667,16,9.9654,33.24099634
584,194.35,16,10.18165,33.9623287
585,194.6833333,14,10.17268,33.932408
586,195.0166667,16,9.914605,33.07156246
587,195.35,16,9.923885,33.10251721
588,195.6833333,14,9.972722,33.26541991
589,196.0166667,14,10.26508,34.24062122
590,196.35,16,9.916326,33.0773031
591,196.6833333,16,9.902539,33.03131462
592,197.0166667,16,9.937778,33.14885927
593,197.35,16,10.17799,33.95012025
594,197.6833333,14,10.14614,33.84388009
595,198.0166667,16,9.89826,33.01704141
596,198.35,16,9.908909,33.05256265
597,198.6833333,14,9.947695,33.18193882
598,199.0166667,14,10.22576,34.10946382
599,199.35,16,9.905133,33.03996727
600,199.6833333,16,9.890272,32.99039631
601,200.0166667,16,9.925356,33.10742394
602,200.35,16,10.16741,33.91482917
603,200.6833333,14,10.12775,33.78253765
604,201.0166667,16,9.878814,32.95217654
605,201.35,16,9.890547,32.99131361
606,201.6833333,14,9.9188,33.08555547
607,202.0166667,17,10.40978,34.72328847
608,202.35,16,9.886975,32.9793987
609,202.6833333,16,9.872608,32.93147555
610,203.0166667,16,9.901999,33.02951337
611,203.35,16,10.16335,33.90128647
612,203.6833333,16,9.91048,33.05780294
613,204.0166667,16,9.869316,32.92049462
614,204.35,16,9.876548,32.94461797
615,204.6833333,14,9.90514,33.03999062
616,205.0166667,17,10.39704,34.6807924
617,205.35,16,9.880207,32.95682308
618,205.6833333,16,9.862475,32.8976755
619,206.0166667,14,9.879198,32.95345742
620,206.35,16,10.16609,33.91042613
621,206.6833333,16,9.901706,33.02853603
622,207.0166667,16,9.857736,32.8818679
623,207.35,16,9.85495,32.8725748
624,207.6833333,14,9.890837,32.99228095
625,208.0166667,17,10.38229,34.6315917
626,208.35,16,9.867943,32.91591478
627,208.6833333,16,9.843351,32.8338847
628,209.0166667,16,9.865746,32.90858638
629,209.35,16,10.16898,33.92006613
630,209.6833333,16,9.89661,33.0115376
631,210.0166667,16,9.852512,32.86444251
632,210.35,16,9.845575,32.84130317
633,210.6833333,16,9.895355,33.00735137
634,211.0166667,17,10.37664,34.61274533
635,211.35,16,9.870357,32.92396702
636,211.6833333,16,9.837896,32.81568878
637,212.0166667,16,9.856258,32.87693782
638,212.35,16,9.959405,33.22099918
639,212.6833333,16,9.894894,33.00581364
640,213.0166667,16,9.841228,32.82680313
641,213.35,16,9.831675,32.79493776
642,213.6833333,16,9.882155,32.96332091
643,214.0166667,17,10.36839,34.58522629
644,214.35,16,9.86007,32.88965328
645,214.6833333,16,9.826088,32.77630153
646,215.0166667,16,9.845104,32.83973208
647,215.35,16,9.950864,33.19250947
648,215.6833333,16,9.899552,33.02135106
649,216.0166667,16,9.838055,32.81621915
