NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1056,71,1,18
1056,72,1,16
1056,73,1,14
1056,74,1,12
1056,75,1,15
1056,76,1,16
1056,77,1,17
1056,78,1,21
1056,79,1,17
1056,80,1,10
1056,81,1,20
1056,82,1,21
1056,83,1,18
1056,84,1,10
1056,85,1,26
1056,86,1,23
1056,87,1,18
1056,88,1,20
1056,89,1,14
1056,90,1,19
1056,91,1,13
1056,92,1,17
1056,93,1,23
1056,94,1,18
1056,95,1,9
1056,96,1,19
1056,97,1,17
1056,98,1,20
1056,99,1,15
990,0,1,46
990,1,1,33
990,2,1,31
990,3,1,31
990,4,1,27
990,5,1,33
990,6,1,25
990,7,1,30
990,8,1,25
990,9,1,25
990,10,1,29
990,11,1,42
990,12,1,27
990,13,1,30
990,14,1,27
990,15,1,43
990,16,1,28
990,17,1,40
990,18,1,35
990,19,1,40
990,20,1,27
990,21,1,26
990,22,1,27
990,23,1,35
990,24,1,28
990,25,1,27
990,26,1,28
990,27,1,36
990,28,1,42
990,29,1,27
990,30,1,29
990,31,1,32
990,32,1,25
990,33,1,33
990,34,1,34
990,35,1,30
990,36,1,26
990,37,1,38
990,38,1,25
990,39,1,31
990,40,1,32
990,41,1,28
990,42,1,23
990,43,1,25
990,44,1,24
990,45,1,34
990,46,1,24
990,47,1,40
990,48,1,26
990,49,1,34
990,50,1,31
990,51,1,29
990,52,1,30
990,53,1,30
990,54,1,30
990,55,1,26
990,56,1,27
990,57,1,39
990,58,1,38
990,59,1,27
990,60,1,30
990,61,1,32
990,62,1,38
990,63,1,38
990,64,1,33
990,65,1,23
990,66,1,41
990,67,1,42
990,68,1,38
990,69,1,27
990,70,1,30
990,71,1,39
990,72,1,26
990,73,1,25
990,74,1,32
990,75,1,29
990,76,1,26
990,77,1,25
990,78,1,22
990,79,1,37
990,80,1,33
990,81,1,33
990,82,1,43
990,83,1,31
990,84,1,38
990,85,1,34
990,86,1,28
990,87,1,26
990,88,1,24
990,89,1,35
990,90,1,31
990,91,1,22
990,92,1,33
990,93,1,34
990,94,1,38
990,95,1,31
990,96,1,25
990,97,1,29
990,98,1,32
990,99,1,27
924,0,1,62
924,1,1,38
924,2,1,52
924,3,1,57
924,4,1,39
924,5,1,52
924,6,1,48
924,7,1,56
924,8,1,57
924,9,1,40
924,10,1,49
924,11,1,36
924,12,1,44
924,13,1,36
924,14,1,54
924,15,1,49
924,16,1,41
924,17,1,45
924,18,1,48
924,19,1,56
924,20,1,58
